Exporter,Importer,Shipments,Distance,Area_exporter,Area_importer,Population_exporter,Population_importer,GDP_exporter,GDP_importer,Intrastate_or_not,Share_Border,BorderxArea_exporter,BorderxArea_importer,BorderxPop_exporter,BorderxPop_importer,BorderxDist,sum_LL,Borderxsum_LL,Lat_ex,Long_ex,Lat_im,Long_im,LL_ex,LL_im,num_FAF_ex,num_FAF_im,remoteness_ex,remoteness_im,SCTG
4.0,4.0,292.0,1.0,294361000000.0,294361000000.0,7359197.0,7359197.0,293035865343.0,293035865343.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,25.018609812195567,25.018609812195567,2.0
4.0,4.0,575.0,1.0,294361000000.0,294361000000.0,7359197.0,7359197.0,293035865343.0,293035865343.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,25.018609812195567,25.018609812195567,3.0
4.0,4.0,575.0,1.0,294361000000.0,294361000000.0,7359197.0,7359197.0,293035865343.0,293035865343.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,25.018609812195567,25.018609812195567,3.0
4.0,4.0,1808.0,1.0,294361000000.0,294361000000.0,7359197.0,7359197.0,293035865343.0,293035865343.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,25.018609812195567,25.018609812195567,4.0
4.0,4.0,1808.0,1.0,294361000000.0,294361000000.0,7359197.0,7359197.0,293035865343.0,293035865343.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,25.018609812195567,25.018609812195567,4.0
4.0,6.0,344.0,10.167938029482288,294361000000.0,403671000000.0,7359197.0,39029342.0,293035865343.0,1821148127062.0,0.0,1.0,26.408072742199746,26.723866026703586,26.408072742199746,26.723866026703586,2.319239439207122,1.0,1.0,33.67825359,-111.4708913,37.83798795,-120.7490147,1.0,0.0,3.0,6.0,25.018609812195567,31.30033897737643,3.0
6.0,4.0,344.0,10.167938029482288,403671000000.0,294361000000.0,39029342.0,7359197.0,1821148127062.0,293035865343.0,0.0,1.0,26.408072742199746,26.723866026703586,26.408072742199746,26.723866026703586,2.319239439207122,1.0,1.0,37.83798795,-120.7490147,33.67825359,-111.4708913,0.0,1.0,6.0,3.0,31.30033897737643,25.018609812195567,3.0
4.0,8.0,19.0,7.957801889930292,294361000000.0,268419000000.0,7359197.0,5839926.0,293035865343.0,286571008746.0,0.0,1.0,26.408072742199746,26.315815029404327,26.408072742199746,26.315815029404327,2.0741528172402646,2.0,2.0,33.67825359,-111.4708913,38.92883319,-105.4910899,1.0,1.0,3.0,2.0,25.018609812195567,20.380646878843788,3.0
8.0,4.0,19.0,7.957801889930292,268419000000.0,294361000000.0,5839926.0,7359197.0,286571008746.0,293035865343.0,0.0,1.0,26.408072742199746,26.315815029404327,26.408072742199746,26.315815029404327,2.0741528172402646,2.0,2.0,38.92883319,-105.4910899,33.67825359,-111.4708913,1.0,1.0,2.0,3.0,20.380646878843788,25.018609812195567,3.0
4.0,12.0,17.0,29.1539451419119,294361000000.0,138958000000.0,7359197.0,22244823.0,293035865343.0,895976980794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.67825359,-111.4708913,28.93181099,-82.70591607,1.0,0.0,3.0,5.0,25.018609812195567,20.207697261419515,3.0
12.0,4.0,17.0,29.1539451419119,138958000000.0,294361000000.0,22244823.0,7359197.0,895976980794.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.93181099,-82.70591607,33.67825359,-111.4708913,0.0,1.0,5.0,3.0,20.207697261419515,25.018609812195567,3.0
4.0,15.0,5.0,47.636372903301314,294361000000.0,16634147166.0,7359197.0,1440196.0,293035865343.0,61510771160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.67825359,-111.4708913,21.02917264,-157.3971885,1.0,0.0,3.0,2.0,25.018609812195567,68.81173863166698,4.0
15.0,4.0,5.0,47.636372903301314,16634147166.0,294361000000.0,1440196.0,7359197.0,61510771160.0,293035865343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.02917264,-157.3971885,33.67825359,-111.4708913,0.0,1.0,2.0,3.0,68.81173863166698,25.018609812195567,4.0
4.0,16.0,4.0,11.002586687686893,294361000000.0,214050000000.0,7359197.0,1939033.0,293035865343.0,69766407340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,44.26668842,-114.4612026,1.0,1.0,3.0,1.0,25.018609812195567,26.571052736864967,3.0
